Epoch 1: Loss = 0.0190, Train Acc = 0.9913, Val Acc = 0.9793
Epoch 2: Loss = 0.0195, Train Acc = 0.9915, Val Acc = 0.9795
Epoch 3: Loss = 0.0517, Train Acc = 0.9913, Val Acc = 0.9795
Epoch 4: Loss = 0.0356, Train Acc = 0.9920, Val Acc = 0.9798
Epoch 5: Loss = 0.0744, Train Acc = 0.9922, Val Acc = 0.9799
Epoch 6: Loss = 0.0683, Train Acc = 0.9924, Val Acc = 0.9790
Epoch 7: Loss = 0.0266, Train Acc = 0.9928, Val Acc = 0.9800
Epoch 8: Loss = 0.0647, Train Acc = 0.9930, Val Acc = 0.9794
Epoch 9: Loss = 0.0204, Train Acc = 0.9933, Val Acc = 0.9804
Epoch 10: Loss = 0.0415, Train Acc = 0.9935, Val Acc = 0.9803
Epoch 11: Loss = 0.0189, Train Acc = 0.9938, Val Acc = 0.9802
Epoch 12: Loss = 0.0217, Train Acc = 0.9937, Val Acc = 0.9803
Epoch 13: Loss = 0.0246, Train Acc = 0.9941, Val Acc = 0.9803
Epoch 14: Loss = 0.0144, Train Acc = 0.9945, Val Acc = 0.9805
Epoch 15: Loss = 0.0254, Train Acc = 0.9943, Val Acc = 0.9810
Epoch 16: Loss = 0.0548, Train Acc = 0.9948, Val Acc = 0.9803
Epoch 17: Loss = 0.0259, Train Acc = 0.9952, Val Acc = 0.9803
Epoch 18: Loss = 0.0333, Train Acc = 0.9954, Val Acc = 0.9806
Epoch 19: Loss = 0.0258, Train Acc = 0.9955, Val Acc = 0.9804
Epoch 20: Loss = 0.0248, Train Acc = 0.9954, Val Acc = 0.9804
Epoch 21: Loss = 0.0219, Train Acc = 0.9956, Val Acc = 0.9807
Epoch 22: Loss = 0.0340, Train Acc = 0.9961, Val Acc = 0.9806
Epoch 23: Loss = 0.0263, Train Acc = 0.9961, Val Acc = 0.9812
Epoch 24: Loss = 0.0245, Train Acc = 0.9963, Val Acc = 0.9808
Epoch 25: Loss = 0.0461, Train Acc = 0.9959, Val Acc = 0.9804
Epoch 26: Loss = 0.0183, Train Acc = 0.9964, Val Acc = 0.9808
Epoch 27: Loss = 0.0145, Train Acc = 0.9966, Val Acc = 0.9807
Epoch 28: Loss = 0.1117, Train Acc = 0.9970, Val Acc = 0.9811
Epoch 29: Loss = 0.0087, Train Acc = 0.9969, Val Acc = 0.9804
Epoch 30: Loss = 0.0187, Train Acc = 0.9969, Val Acc = 0.9807
Epoch 31: Loss = 0.0190, Train Acc = 0.9971, Val Acc = 0.9812
Epoch 32: Loss = 0.0270, Train Acc = 0.9972, Val Acc = 0.9810
Epoch 33: Loss = 0.0149, Train Acc = 0.9972, Val Acc = 0.9812
Epoch 34: Loss = 0.0086, Train Acc = 0.9973, Val Acc = 0.9815
Epoch 35: Loss = 0.0108, Train Acc = 0.9974, Val Acc = 0.9812
Epoch 36: Loss = 0.0064, Train Acc = 0.9974, Val Acc = 0.9806
Epoch 37: Loss = 0.0143, Train Acc = 0.9976, Val Acc = 0.9816
Epoch 38: Loss = 0.0171, Train Acc = 0.9978, Val Acc = 0.9812
Epoch 39: Loss = 0.0507, Train Acc = 0.9977, Val Acc = 0.9809
Epoch 40: Loss = 0.0111, Train Acc = 0.9978, Val Acc = 0.9812
Epoch 41: Loss = 0.0145, Train Acc = 0.9981, Val Acc = 0.9814
Epoch 42: Loss = 0.0093, Train Acc = 0.9981, Val Acc = 0.9818
Epoch 43: Loss = 0.0443, Train Acc = 0.9981, Val Acc = 0.9812
Epoch 44: Loss = 0.0071, Train Acc = 0.9982, Val Acc = 0.9814
Epoch 45: Loss = 0.0098, Train Acc = 0.9983, Val Acc = 0.9812
Epoch 46: Loss = 0.0468, Train Acc = 0.9982, Val Acc = 0.9809
Epoch 47: Loss = 0.0159, Train Acc = 0.9983, Val Acc = 0.9818
Epoch 48: Loss = 0.0124, Train Acc = 0.9984, Val Acc = 0.9815
Epoch 49: Loss = 0.0112, Train Acc = 0.9985, Val Acc = 0.9813
Epoch 50: Loss = 0.0652, Train Acc = 0.9983, Val Acc = 0.9816
Epoch 51: Loss = 0.0094, Train Acc = 0.9986, Val Acc = 0.9813
Epoch 52: Loss = 0.0144, Train Acc = 0.9987, Val Acc = 0.9813
Epoch 53: Loss = 0.0099, Train Acc = 0.9985, Val Acc = 0.9811
Epoch 54: Loss = 0.0138, Train Acc = 0.9988, Val Acc = 0.9816
Epoch 55: Loss = 0.0079, Train Acc = 0.9988, Val Acc = 0.9813
Epoch 56: Loss = 0.0520, Train Acc = 0.9989, Val Acc = 0.9814
Epoch 57: Loss = 0.0786, Train Acc = 0.9989, Val Acc = 0.9817
Epoch 58: Loss = 0.0184, Train Acc = 0.9989, Val Acc = 0.9817
Epoch 59: Loss = 0.0159, Train Acc = 0.9989, Val Acc = 0.9819
Epoch 60: Loss = 0.0131, Train Acc = 0.9989, Val Acc = 0.9815
Epoch 61: Loss = 0.0082, Train Acc = 0.9989, Val Acc = 0.9815
Epoch 62: Loss = 0.0083, Train Acc = 0.9989, Val Acc = 0.9819
Epoch 63: Loss = 0.0211, Train Acc = 0.9990, Val Acc = 0.9815
Epoch 64: Loss = 0.0156, Train Acc = 0.9991, Val Acc = 0.9821
Epoch 65: Loss = 0.0035, Train Acc = 0.9991, Val Acc = 0.9816
Epoch 66: Loss = 0.0075, Train Acc = 0.9991, Val Acc = 0.9812
Epoch 67: Loss = 0.0154, Train Acc = 0.9991, Val Acc = 0.9817
Epoch 68: Loss = 0.0131, Train Acc = 0.9991, Val Acc = 0.9818
Epoch 69: Loss = 0.0121, Train Acc = 0.9993, Val Acc = 0.9816
Epoch 70: Loss = 0.0082, Train Acc = 0.9992, Val Acc = 0.9817
Epoch 71: Loss = 0.0054, Train Acc = 0.9993, Val Acc = 0.9815
Epoch 72: Loss = 0.0152, Train Acc = 0.9991, Val Acc = 0.9816
Epoch 73: Loss = 0.0076, Train Acc = 0.9993, Val Acc = 0.9816
Epoch 74: Loss = 0.0076, Train Acc = 0.9993, Val Acc = 0.9817
Epoch 75: Loss = 0.0140, Train Acc = 0.9993, Val Acc = 0.9819
Epoch 76: Loss = 0.0113, Train Acc = 0.9993, Val Acc = 0.9817
Epoch 77: Loss = 0.0053, Train Acc = 0.9993, Val Acc = 0.9822
Epoch 78: Loss = 0.0123, Train Acc = 0.9993, Val Acc = 0.9818
Epoch 79: Loss = 0.0120, Train Acc = 0.9993, Val Acc = 0.9815
Epoch 80: Loss = 0.0092, Train Acc = 0.9994, Val Acc = 0.9816
Epoch 81: Loss = 0.0032, Train Acc = 0.9994, Val Acc = 0.9817
Epoch 82: Loss = 0.0054, Train Acc = 0.9994, Val Acc = 0.9818
Epoch 83: Loss = 0.0031, Train Acc = 0.9995, Val Acc = 0.9818
Epoch 84: Loss = 0.0041, Train Acc = 0.9995, Val Acc = 0.9816
Epoch 85: Loss = 0.0060, Train Acc = 0.9995, Val Acc = 0.9819
Epoch 86: Loss = 0.0212, Train Acc = 0.9995, Val Acc = 0.9814
Epoch 87: Loss = 0.0113, Train Acc = 0.9995, Val Acc = 0.9816
Epoch 88: Loss = 0.0139, Train Acc = 0.9995, Val Acc = 0.9817
Epoch 89: Loss = 0.0100, Train Acc = 0.9995, Val Acc = 0.9819
Epoch 90: Loss = 0.0132, Train Acc = 0.9995, Val Acc = 0.9820
Epoch 91: Loss = 0.0036, Train Acc = 0.9995, Val Acc = 0.9818
Epoch 92: Loss = 0.0016, Train Acc = 0.9995, Val Acc = 0.9820
Epoch 93: Loss = 0.0044, Train Acc = 0.9995, Val Acc = 0.9818
Epoch 94: Loss = 0.0043, Train Acc = 0.9996, Val Acc = 0.9822
Epoch 95: Loss = 0.0106, Train Acc = 0.9996, Val Acc = 0.9819
Epoch 96: Loss = 0.0090, Train Acc = 0.9996, Val Acc = 0.9820
Epoch 97: Loss = 0.0062, Train Acc = 0.9997, Val Acc = 0.9825
Epoch 98: Loss = 0.0067, Train Acc = 0.9996, Val Acc = 0.9818
Epoch 99: Loss = 0.0148, Train Acc = 0.9996, Val Acc = 0.9824
Epoch 100: Loss = 0.0036, Train Acc = 0.9996, Val Acc = 0.9817
