Epoch 79: Loss = 0.0007, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 80: Loss = 0.0005, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 81: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9813
Epoch 82: Loss = 0.0007, Train Acc = 1.0000, Val Acc = 0.9814
Epoch 83: Loss = 0.0009, Train Acc = 1.0000, Val Acc = 0.9810
Epoch 84: Loss = 0.0005, Train Acc = 1.0000, Val Acc = 0.9809
Epoch 85: Loss = 0.0005, Train Acc = 1.0000, Val Acc = 0.9810
Epoch 86: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 87: Loss = 0.0007, Train Acc = 1.0000, Val Acc = 0.9816
Epoch 88: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 89: Loss = 0.0003, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 90: Loss = 0.0004, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 91: Loss = 0.0003, Train Acc = 1.0000, Val Acc = 0.9813
Epoch 92: Loss = 0.0004, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 93: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 94: Loss = 0.0004, Train Acc = 1.0000, Val Acc = 0.9816
Epoch 95: Loss = 0.0005, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 96: Loss = 0.0006, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 97: Loss = 0.0002, Train Acc = 1.0000, Val Acc = 0.9812
Epoch 98: Loss = 0.0004, Train Acc = 1.0000, Val Acc = 0.9811
Epoch 99: Loss = 0.0003, Train Acc = 1.0000, Val Acc = 0.9813
Epoch 100: Loss = 0.0003, Train Acc = 1.0000, Val Acc = 0.9810
